epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.4787,1.10638,5.37054,0.01992,0.00333,1,0.07935,0.04165,0.54305,7.15205,0.01519,2e-05,2e-05,2e-05
2,28.907,1.18546,5.7159,0.02266,0.00333,1,0.09479,0.0527,0.53436,7.14706,0.01516,5.8812e-05,5.8812e-05,5.8812e-05
3,30.7099,1.20359,6.81029,0.02266,0.00333,1,0.11322,0.07505,0.44045,7.07403,0.01195,9.604e-05,9.604e-05,9.604e-05
4,32.3668,0.95309,5.01409,0.01735,0.00333,1,0.18478,0.10944,0.5277,7.12951,0.01485,0.000131684,0.000131684,0.000131684
5,33.7474,0.95056,5.17266,0.0178,0.00333,1,0.35762,0.20528,0.52889,7.13356,0.01521,0.000165744,0.000165744,0.000165744
6,34.9476,0.8105,5.09681,0.01555,0.00333,1,0.78071,0.36355,0.54451,7.14226,0.01575,0.00019822,0.00019822,0.00019822
7,36.037,0.81398,5.19709,0.01699,0.00333,1,0.78786,0.48511,0.56184,7.15553,0.01633,0.000229112,0.000229112,0.000229112
8,37.2997,0.77971,5.22137,0.01664,0.00333,1,0.82536,0.57804,0.57117,7.15584,0.01622,0.00025842,0.00025842,0.00025842
9,38.4122,1.01632,5.21184,0.01517,0.00333,1,0.82536,0.58313,0.58281,7.15942,0.01693,0.000286144,0.000286144,0.000286144
10,39.5162,0.76365,5.39143,0.01519,0.00333,1,0.745,0.55639,0.57404,7.14982,0.01685,0.000312284,0.000312284,0.000312284
11,40.6681,0.80528,4.81425,0.01635,0.00333,1,0.67682,0.51471,0.5797,7.15551,0.01711,0.00033684,0.00033684,0.00033684
12,41.6641,0.66729,6.10862,0.01455,0.00333,1,0.67682,0.51471,0.5797,7.15551,0.01711,0.000359812,0.000359812,0.000359812
13,43.3583,0.75915,5.44812,0.01465,0.00333,1,0.56048,0.47847,0.56805,7.13607,0.01662,0.0003812,0.0003812,0.0003812
14,45.3842,0.76559,5.6386,0.01736,0.00333,1,0.58131,0.50175,0.47128,7.08831,0.01271,0.000401004,0.000401004,0.000401004
15,46.7019,0.74482,4.55716,0.01437,0.00333,1,0.58131,0.50175,0.47128,7.08831,0.01271,0.000419224,0.000419224,0.000419224
16,47.7804,0.7795,4.85274,0.01323,0.00333,1,0.6108,0.53012,0.48253,7.08838,0.0129,0.00043586,0.00043586,0.00043586
17,48.8282,0.75729,5.14407,0.01717,0.00333,1,0.56551,0.49582,0.48079,7.06368,0.01292,0.000450912,0.000450912,0.000450912
18,49.8685,0.85897,5.10024,0.01552,0.00333,1,0.56551,0.49582,0.48079,7.06368,0.01292,0.00046438,0.00046438,0.00046438
19,50.9402,1.00666,4.87551,0.0194,0.00333,1,0.65875,0.56833,0.50058,7.04146,0.01358,0.000476264,0.000476264,0.000476264
20,52.0658,0.7073,4.78529,0.01594,0.00333,1,0.65875,0.56833,0.50058,7.04146,0.01358,0.000486564,0.000486564,0.000486564
21,53.1333,0.80415,5.17195,0.01573,0.00333,1,0.72,0.59561,0.55019,7.03284,0.01479,0.00049528,0.00049528,0.00049528
22,54.3839,0.9252,4.45019,0.01886,0.00333,1,0.72,0.59561,0.55019,7.03284,0.01479,0.000502412,0.000502412,0.000502412
23,55.6245,0.84598,4.04308,0.01403,0.00333,1,0.73111,0.599,0.75043,6.98339,0.02104,0.00050796,0.00050796,0.00050796
24,56.9186,0.96086,4.15241,0.0153,0.00333,1,0.73111,0.599,0.75043,6.98339,0.02104,0.000511924,0.000511924,0.000511924
25,58.836,1.03609,4.42243,0.02011,0.00333,1,0.73111,0.60728,0.68103,6.86476,0.01884,0.000514304,0.000514304,0.000514304
26,60.5309,0.71637,4.45774,0.01565,0.00333,1,0.73111,0.60728,0.68103,6.86476,0.01884,0.0005151,0.0005151,0.0005151
27,61.6172,0.83705,5.68428,0.01964,0.00333,1,0.73111,0.60728,0.68103,6.86476,0.01884,0.000514312,0.000514312,0.000514312
28,62.9466,0.97536,4.79259,0.02352,0.00333,1,0.67278,0.58777,0.69029,6.747,0.01932,0.00051194,0.00051194,0.00051194
29,64.0408,0.89742,3.9794,0.01531,0.00333,1,0.67278,0.58777,0.69029,6.747,0.01932,0.000507984,0.000507984,0.000507984
30,65.1176,0.79734,4.22362,0.01447,0.06632,1,0.745,0.65602,0.684,6.64197,0.01944,0.000502444,0.000502444,0.000502444
31,66.1881,0.73693,4.32543,0.01558,0.06632,1,0.745,0.65602,0.684,6.64197,0.01944,0.00049532,0.00049532,0.00049532
32,67.4169,0.81292,4.24734,0.01621,0.06632,1,0.745,0.65602,0.684,6.64197,0.01944,0.000486612,0.000486612,0.000486612
33,68.4943,0.76993,3.91919,0.01287,0.19865,1,0.745,0.62821,0.73066,6.59077,0.02044,0.00047632,0.00047632,0.00047632
34,69.6427,0.86683,4.0308,0.01486,0.19865,1,0.745,0.62821,0.73066,6.59077,0.02044,0.000464444,0.000464444,0.000464444
35,70.8198,0.83671,4.20958,0.01621,0.19865,1,0.745,0.62821,0.73066,6.59077,0.02044,0.000450984,0.000450984,0.000450984
36,72.8167,0.90272,4.61381,0.02109,0.32724,1,0.76286,0.63612,0.76634,6.52428,0.02148,0.00043594,0.00043594,0.00043594
37,74.3303,0.8008,3.71223,0.01352,0.32724,1,0.76286,0.63612,0.76634,6.52428,0.02148,0.000419312,0.000419312,0.000419312
38,75.3823,0.89293,4.02149,0.01778,0.32724,1,0.76286,0.63612,0.76634,6.52428,0.02148,0.0004011,0.0004011,0.0004011
39,76.553,0.76621,4.10987,0.01617,0.48489,1,0.88786,0.73612,0.8023,6.42516,0.02278,0.000381304,0.000381304,0.000381304
40,77.6371,0.77805,4.24724,0.01691,0.48489,1,0.88786,0.73612,0.8023,6.42516,0.02278,0.000359924,0.000359924,0.000359924
41,80.9006,0.82267,8.06074,0.02525,0.48489,1,0.88786,0.73612,0.8023,6.42516,0.02278,0.00033696,0.00033696,0.00033696
42,82.6597,0.75716,8.02424,0.02163,0.51736,0.81076,0.88786,0.73671,0.77898,6.26765,0.02207,0.000312412,0.000312412,0.000312412
43,83.9425,0.8359,8.09613,0.02364,0.51736,0.81076,0.88786,0.73671,0.77898,6.26765,0.02207,0.00028628,0.00028628,0.00028628
44,85.4349,0.90274,8.14101,0.02629,0.51736,0.81076,0.88786,0.73671,0.77898,6.26765,0.02207,0.000258564,0.000258564,0.000258564
45,87.284,0.91402,8.09925,0.02564,0.51736,0.81076,0.88786,0.73671,0.77898,6.26765,0.02207,0.000229264,0.000229264,0.000229264
46,89.0778,0.82843,7.92863,0.02169,0.60475,0.75,0.88786,0.73671,0.73575,6.15357,0.02069,0.00019838,0.00019838,0.00019838
47,90.1999,0.86763,8.24161,0.0238,0.60475,0.75,0.88786,0.73671,0.73575,6.15357,0.02069,0.000165912,0.000165912,0.000165912
48,91.3583,0.81953,7.91437,0.0248,0.60475,0.75,0.88786,0.73671,0.73575,6.15357,0.02069,0.00013186,0.00013186,0.00013186
49,92.6379,0.74922,7.79986,0.01905,0.60475,0.75,0.88786,0.73671,0.73575,6.15357,0.02069,9.6224e-05,9.6224e-05,9.6224e-05
50,93.9126,0.73317,7.93103,0.01633,0.65387,0.75,0.8075,0.67561,0.73386,6.03121,0.02052,5.9004e-05,5.9004e-05,5.9004e-05
